MSE,ICP rX,ICP rY,ICP rZ,GT rX,GT rY,GT rZ
0.000667473,23.1594,24.9479,47.8855,70.9408,73.4842,76.5205
0.000642352,23.2388,24.9451,47.8833,71.5917,73.7012,77.044
0.000607379,23.4055,24.9905,47.8455,71.587,73.6167,77.1102
0.000685477,23.6654,25.0104,47.7958,72.0751,73.8013,77.8634
0.000645215,23.8637,25.0272,47.7322,72.9337,73.7059,79.6208
0.000613202,24.0098,25.0901,47.6349,73.4921,73.9178,80.3966
0.000613579,24.118,25.1627,47.4749,74.2512,74.0093,81.4887
0.000662858,24.0178,25.1724,47.4308,74.6863,74.1797,82.0837
0.000611623,23.7259,25.2846,47.166,75.333,74.378,82.6076
0.000592482,23.5761,25.3291,47.084,76.2252,74.6583,83.6193
0.000609145,23.3339,25.3249,47.0786,76.9257,74.8274,84.4193
0.000629536,23.0794,25.3706,47.0276,77.1619,75.0669,84.5599
0.000613212,22.6491,25.5696,46.6631,77.7942,75.2533,85.0436
0.000655511,22.0221,25.6154,46.39,78.2632,75.5387,85.1813
0.000710151,21.5923,25.661,46.1381,78.4672,75.841,84.9842
0.000642434,21.0882,25.7444,45.9042,78.5147,76.1133,84.8944
0.000722968,20.6869,25.6459,45.5863,78.2556,76.4639,84.4768
0.000660464,20.206,25.6331,45.2098,78.2098,76.6926,84.2063
0.00067862,19.4574,25.5436,44.8675,77.4825,77.0539,83.0959
0.000749283,18.8937,25.4485,44.3437,76.7861,77.4569,82.0576
0.000692953,18.4464,25.2467,43.9515,75.9839,77.6881,81.1805
0.000721914,17.9208,25.0546,43.5456,74.7722,77.9561,79.8185
