MSE,ICP rX,ICP rY,ICP rZ,GT rX,GT rY,GT rZ
0.00026554,-5.67988,4.82186,9.65703,-7.35206,6.36768,2.71702
0.000265641,-5.20633,4.55708,9.13594,-7.05456,6.71111,2.65688
0.00029889,-5.57735,4.81259,8.75019,-6.83913,7.04866,3.39391
0.000249524,-5.59127,4.68088,8.33242,-6.65707,7.4786,3.7622
0.000261841,-4.79916,4.68141,8.06812,-6.29979,7.8824,3.3123
0.000253563,-4.63507,4.5388,7.81917,-5.97498,8.27851,3.34546
0.000244678,-4.73702,4.64934,7.47586,-5.71378,8.62472,3.81628
0.000246702,-4.32155,4.50393,7.19275,-5.3949,8.94506,3.93694
0.000245107,-3.70545,4.45445,7.11917,-5.20577,9.34324,3.53602
0.000260776,-3.27563,4.41271,6.88317,-4.8029,9.6564,3.65831
0.00024312,-2.73675,4.44877,6.70973,-4.60791,9.97985,3.5905
0.000269875,-2.88691,4.52478,6.13802,-4.36018,10.2187,3.90421
0.000229806,-2.4826,4.44922,5.5238,-4.0071,10.5645,4.12292
0.000218605,-1.63627,4.49773,5.1578,-3.72285,10.8896,3.70567
0.000229732,-1.40155,4.77393,4.50657,-3.26493,11.1315,4.05364
0.000228341,-0.926945,4.83776,3.75817,-2.68866,11.4399,4.33673
0.000249076,-0.102521,4.82209,2.89536,-2.01002,11.7489,4.15724
0.00021703,0.675692,5.07243,2.08395,-1.26672,12.0539,3.84678
0.000237298,1.00533,5.49387,1.17254,-0.451841,12.3621,4.25499
0.000207043,0.977607,5.83031,0.452601,0.473801,12.6894,4.7492
0.000248431,1.38777,5.82335,-0.184532,1.34196,13.1912,5.71811
0.000233182,2.07723,6.00365,-0.754981,2.33265,13.7735,6.21678
0.000210673,2.77093,6.01523,-2.0365,3.28797,14.3108,6.59371
0.000219051,3.41174,5.95558,-3.04798,4.23268,14.8942,6.84152
0.000232978,4.51375,5.84933,-3.92666,5.31019,15.5148,7.00409
0.000225045,5.37027,5.8479,-4.86264,6.30772,15.971,7.27696
0.000222564,5.55509,5.84641,-5.96106,7.3105,16.4019,8.01443
0.000213301,6.18852,5.89257,-6.96517,8.28188,16.8505,8.51726
0.000228023,7.37747,6.0223,-7.92733,9.05,17.4876,8.16822
0.000233698,8.23657,6.10973,-8.57936,9.88447,18.0081,8.24707
0.000210888,7.95091,6.05096,-9.05301,10.7185,18.1797,9.46165
0.000208095,8.58791,5.89307,-9.98867,11.6235,18.4461,10.0554
0.000205864,9.96163,5.94732,-10.9811,12.2757,19.1729,9.57139
0.000210175,9.92,5.91281,-11.4994,12.9207,19.5074,10.0928
0.000217985,10.2241,5.83398,-11.9619,13.6127,19.9039,10.6195
0.000206923,11.111,6.01283,-13.1562,14.3162,20.433,10.6249
0.000183436,11.6793,5.98538,-13.9586,14.8018,20.927,10.7435
0.00019306,12.7265,5.99564,-14.2823,15.4652,21.4992,10.9768
0.000195051,13.6922,6.09198,-15.1399,15.9726,22.1284,10.6415
0.000172833,14.0887,6.02054,-15.5734,16.565,22.5289,11.1959
0.00020267,15.262,6.1154,-16.2036,17.0132,23.2167,10.9919
0.000178292,16.5925,6.34752,-16.6081,17.2273,24.169,10.2669
0.000181862,17.6766,6.21504,-17.4054,17.5418,24.9676,9.98538
0.000194968,18.857,6.36313,-18.0668,17.8253,25.6924,9.67214
0.00018233,20.0228,6.12808,-18.8497,17.8803,26.4506,9.35694
0.000179621,20.823,6.05577,-19.1436,17.7978,27.1474,9.20109
0.0001915,22.4357,6.26855,-19.2293,17.3584,28.2466,8.0052
0.000194001,23.5864,6.37634,-19.0067,16.7865,29.1849,7.03088
0.000179019,24.3189,6.128,-18.9079,16.1045,29.7265,6.44351
0.000191688,24.9829,6.29779,-18.3122,15.3397,30.5478,5.6712
0.000177876,25.7308,6.20706,-18.2187,14.6459,31.0488,5.15136
0.000176605,26.0138,6.18178,-17.7129,13.6534,31.5324,4.28975
0.000169273,26.6325,6.23158,-17.1827,12.5834,31.9206,3.36758
0.000192582,26.8704,6.21427,-16.6254,11.8442,32.0553,2.97371
0.000203067,27.2218,6.32622,-15.9357,10.3959,32.2889,1.92541
0.000180174,27.8353,6.53523,-15.5828,9.22421,32.442,0.797425
0.000205838,27.7307,6.57689,-15.0202,8.22363,32.344,0.335801
0.000199519,27.9519,6.69738,-14.238,7.16069,32.2142,-0.384515
0.000184841,28.4278,7.09961,-13.0955,6.08172,32.1969,-1.1647
0.000157762,28.26,7.12336,-12.4521,5.29702,32.0056,-1.32918
0.000206916,28.8499,7.50294,-11.7065,4.28988,31.9496,-2.19283
0.000180471,30.1318,7.8822,-10.8684,3.30097,32.1379,-3.48814
0.000187017,29.8298,7.94752,-10.8434,2.68517,31.876,-3.68917
0.000198567,29.5384,7.96194,-10.6378,2.20849,31.7669,-3.3239
0.000213923,29.9537,8.17283,-10.3432,1.45358,31.728,-4.15061
0.000203742,29.7408,8.00307,-10.8152,1.09479,31.6955,-3.71091
0.000214871,29.8041,7.80986,-11.1659,0.617767,31.6496,-3.75533
0.000191456,29.8881,8.02275,-10.7945,0.235023,31.6673,-3.89335
0.000246923,29.1724,7.70032,-10.3567,0.055353,31.5767,-3.00226
0.000215535,29.2231,7.66245,-10.0149,-0.681602,31.653,-3.5069
0.000201658,30.5934,7.6191,-10.331,-1.46583,31.8797,-4.71804
0.000194021,30.1773,7.43456,-10.4293,-1.57988,31.8728,-4.37003
0.000265005,29.5544,6.74354,-10.5954,-1.88216,31.8598,-3.82631
0.000203511,30.0017,6.91288,-10.4756,-2.32646,32.0182,-4.35499
0.000210621,30.1333,6.94958,-10.3028,-2.33956,32.0947,-4.09145
0.000198918,29.5303,6.75372,-10.0875,-2.59141,32.2936,-3.4724
0.000195293,29.9868,6.73731,-9.97681,-3.04911,32.5017,-3.92333
0.000201235,30.5521,7.00161,-9.65063,-3.54772,32.7243,-4.79194
0.000176125,30.3617,6.92644,-9.86824,-3.87085,32.9328,-4.91515
0.000200612,30.1041,6.84296,-9.71493,-4.24126,33.1164,-5.27373
0.000210529,29.6978,6.43742,-10.1076,-4.24664,33.2997,-4.88859
0.000190925,29.7938,6.42761,-10.0348,-4.18413,33.351,-4.35726
0.000199135,30.6591,6.65964,-9.43352,-4.89423,33.7624,-5.74869
0.000203315,30.5414,6.48107,-9.35903,-5.11737,33.9172,-5.96551
0.000323419,29.548,6.25585,-9.40653,-4.65172,34.0218,-4.83831
0.000203451,29.2285,5.93881,-10.0078,-4.66413,34.183,-4.71498
0.000201127,29.3988,6.05199,-9.82572,-4.82055,34.3445,-5.0637
0.000219925,28.8703,5.81557,-9.69572,-5.03509,34.307,-5.3709
0.000225166,28.2884,5.87325,-9.31044,-4.95293,34.3947,-4.93943
0.000204615,27.8832,5.6378,-9.6026,-5.07855,34.5058,-5.00142
0.000225691,27.2465,5.73308,-9.29681,-5.17348,34.588,-4.80484
0.000246399,26.4933,5.73784,-9.21031,-4.97019,34.5756,-4.13425
0.000212596,25.984,5.86408,-9.34632,-4.95869,34.7295,-3.95949
0.000245581,25.2844,5.59792,-9.38765,-5.07634,34.8089,-3.82907
0.000244551,24.512,5.56862,-9.48584,-4.96607,34.9149,-3.24047
0.00022057,24.0368,5.63544,-9.58516,-5.07461,35.1178,-3.20459
0.000281366,23.1272,5.46925,-9.75535,-5.04258,35.2794,-2.76298
0.000250457,22.1578,5.31442,-9.74961,-4.88415,35.5827,-2.21746
0.000218032,21.3146,5.19982,-9.94623,-4.58116,35.8148,-1.5797
0.000242249,20.2216,5.11215,-9.82448,-4.29053,36.0164,-0.770732
0.000208772,19.745,5.07304,-9.9636,-4.19517,36.2818,-0.505998
0.000180578,19.2817,5.12152,-10.0407,-4.26141,36.6188,-0.597157
0.000182677,18.7455,5.21392,-9.7135,-4.4958,36.7151,-0.689057
0.000166467,18.4808,5.31021,-9.83046,-4.82783,36.9636,-1.20412
0.000155647,18.2904,5.50573,-9.91399,-4.77406,37.1422,-1.22832
0.000188148,17.6048,5.61458,-10.1481,-4.44497,37.343,-0.868097
0.000181449,16.7029,5.67939,-10.332,-3.98709,37.5227,-0.0339136
0.000185216,16.1131,5.72589,-10.6712,-3.50165,37.8028,0.507183
0.000187042,15.2299,5.71131,-11.1398,-3.15603,38.1611,0.920293
0.000200137,14.2206,5.59924,-11.5518,-2.54104,38.4359,1.97954
0.00018172,14.0283,5.57852,-12.0755,-2.57852,38.9271,1.6429
0.00017337,13.4641,5.56693,-12.2875,-2.12351,39.2187,2.22038
0.000175039,12.8798,5.54418,-12.0932,-1.96405,39.5345,2.63796
0.000170774,12.9358,5.49991,-12.1519,-1.95407,39.9224,2.42095
0.000192194,12.8592,5.63943,-11.8947,-2.10462,40.2341,2.15225
0.000206927,12.537,5.55273,-12.2573,-1.91317,40.6021,2.15788
0.000180552,12.0979,5.4177,-12.5237,-1.98098,40.868,2.46716
0.000171084,12.6718,5.65018,-12.5477,-2.73904,41.2591,1.20673
0.000179629,13.0646,5.80619,-12.2544,-3.36969,41.6264,0.217418
0.00017576,12.5755,5.70392,-11.9829,-3.6049,41.8772,0.251538
0.000194956,12.1387,5.58968,-11.9741,-4.30375,42.65,-0.419018
0.000217616,11.0548,5.10866,-11.6579,-4.15321,42.9395,0.481963
0.000185584,10.14,4.76294,-11.8481,-3.93821,43.4283,1.22753
0.000177852,9.59597,4.49196,-11.6515,-4.14786,43.931,1.35927
0.000185487,9.12081,4.27836,-11.2576,-4.33488,44.4838,1.46837
0.000214829,8.47649,3.9062,-11.8606,-4.34715,45.0703,1.85968
0.000216398,7.57845,3.43039,-11.8174,-3.92288,45.5781,2.72194
0.000228702,6.72228,3.01045,-12.2486,-3.84207,46.0994,3.18863
0.000276588,5.97111,2.41963,-12.0474,-3.31613,46.74,4.06939
0.000204751,5.72963,2.0297,-11.88,-3.64765,47.3961,4.14571
0.000193049,5.8383,1.68713,-11.9428,-4.40348,48.0351,3.26088
0.000232012,5.01472,1.35319,-11.9447,-4.12807,48.5612,3.98293
0.000233714,4.67639,1.16263,-11.9545,-4.08396,48.9596,4.36269
