MSE,ICP rX,ICP rY,ICP rZ,GT rX,GT rY,GT rZ
0.00539523,-5.18555,1.19313,7.23635,-7.72958,5.46714,2.77302
0.00528453,-5.01144,1.15119,7.00404,-7.56761,5.92406,2.93413
0.00526185,-4.68081,1.1101,6.95804,-7.35206,6.36768,2.71702
0.00488184,-4.17458,1.03537,6.74171,-7.05456,6.71111,2.65688
0.00597911,-4.68398,1.09412,6.88945,-6.83913,7.04866,3.39391
0.0060179,-4.7257,1.01379,6.68574,-6.65707,7.4786,3.7622
0.00496329,-3.95489,0.993696,6.24826,-6.29979,7.8824,3.3123
0.00499048,-3.77788,0.87205,6.02668,-5.97498,8.27851,3.34546
0.00499193,-3.90662,0.817797,5.78553,-5.71378,8.62472,3.81628
0.00486578,-3.4754,0.835224,5.3302,-5.3949,8.94506,3.93694
0.00514945,-2.81498,0.800422,4.76613,-5.20577,9.34324,3.53602
0.00477422,-2.31299,0.866714,4.56003,-4.8029,9.6564,3.65831
0.00518501,-1.8773,0.956395,4.38149,-4.60791,9.97985,3.5905
0.00518625,-1.99765,1.06802,4.01857,-4.36018,10.2187,3.90421
0.00511485,-1.60854,0.958554,3.45034,-4.0071,10.5645,4.12292
0.00507994,-0.836385,1.05014,3.33699,-3.72285,10.8896,3.70567
0.00515955,-0.697217,1.27796,2.68959,-3.26493,11.1315,4.05364
0.00458068,-0.243467,1.3261,2.2497,-2.68866,11.4399,4.33673
0.00488072,0.554208,1.42929,1.69402,-2.01002,11.7489,4.15724
0.00489053,1.23307,1.54144,1.21805,-1.26672,12.0539,3.84678
0.00444745,1.57561,1.83562,0.46675,-0.451841,12.3621,4.25499
0.00487441,1.59424,1.91762,-0.503331,0.473801,12.6894,4.7492
0.00464589,2.02441,1.94262,-1.40977,1.34196,13.1912,5.71811
0.00478534,2.73268,1.84222,-2.22643,2.33265,13.7735,6.21678
0.00457575,3.40193,1.90084,-3.23367,3.28797,14.3108,6.59371
0.00472197,4.03743,1.97811,-4.05772,4.23268,14.8942,6.84152
0.0043533,5.12152,2.03354,-5.12068,5.31019,15.5148,7.00409
0.00498873,5.93936,2.14009,-6.01647,6.30772,15.971,7.27696
0.00490448,6.1473,2.09165,-6.80391,7.3105,16.4019,8.01443
0.00472771,6.7795,1.89736,-7.65466,8.28188,16.8505,8.51726
0.00437013,8.07953,1.88936,-8.87253,9.05,17.4876,8.16822
0.00440164,8.95501,1.90913,-9.69921,9.88447,18.0081,8.24707
0.00417268,8.75838,1.68036,-10.5115,10.7185,18.1797,9.46165
0.0046915,9.35701,1.6031,-11.5528,11.6235,18.4461,10.0554
0.00413057,10.6036,1.74255,-12.4043,12.2757,19.1729,9.57139
0.00399886,10.6827,1.70007,-13.2825,12.9207,19.5074,10.0928
0.0041624,11.1201,1.7201,-14.0426,13.6127,19.9039,10.6195
0.00431194,12.0147,1.79985,-15.0961,14.3162,20.433,10.6249
0.00418811,12.5095,1.82181,-15.5052,14.8018,20.927,10.7435
0.00392819,13.5295,1.89525,-16.037,15.4652,21.4992,10.9768
0.00377615,14.5244,2.036,-16.9602,15.9726,22.1284,10.6415
0.00383027,14.8315,2.03366,-17.364,16.565,22.5289,11.1959
0.00394035,16.0255,2.2233,-18.002,17.0132,23.2167,10.9919
0.00415145,17.4342,2.44875,-18.7574,17.2273,24.169,10.2669
0.00371014,18.3182,2.48971,-19.3499,17.5418,24.9676,9.98538
0.00386523,19.5609,2.578,-20.1284,17.8253,25.6924,9.67214
0.00394167,20.4725,2.63158,-20.5433,17.8803,26.4506,9.35694
0.00384911,21.3951,2.517,-20.7796,17.7978,27.1474,9.20109
0.00448318,22.7628,3.00123,-20.8145,17.3584,28.2466,8.0052
0.00436229,24.0618,3.02584,-20.8311,16.7865,29.1849,7.03088
0.00363665,24.6849,2.95525,-20.4744,16.1045,29.7265,6.44351
0.00403853,25.4138,3.0348,-20.3813,15.3397,30.5478,5.6712
0.00396239,26.0967,3.12768,-20.1112,14.6459,31.0488,5.15136
0.00414931,26.4932,3.00171,-19.8755,13.6534,31.5324,4.28975
0.00417965,26.9288,3.42008,-19.1233,12.5834,31.9206,3.36758
0.00416637,27.239,3.27929,-18.945,11.8442,32.0553,2.97371
0.00392263,27.6589,3.49092,-18.2211,10.3959,32.2889,1.92541
0.00359735,28.2733,3.7554,-17.5929,9.22421,32.442,0.797425
0.0035022,28.1932,3.60535,-17.2084,8.22363,32.344,0.335801
0.00389647,28.465,3.70255,-16.6444,7.16069,32.2142,-0.384515
0.00379229,28.841,4.17094,-16.1055,6.08172,32.1969,-1.1647
0.0035395,28.6711,4.19464,-15.4702,5.29702,32.0056,-1.32918
0.00395048,29.2157,4.35296,-14.9995,4.28988,31.9496,-2.19283
0.00462764,30.487,4.79145,-14.6402,3.30097,32.1379,-3.48814
0.00407909,30.3584,4.82558,-14.3474,2.68517,31.876,-3.68917
0.00424613,30.1006,4.89636,-13.9185,2.20849,31.7669,-3.3239
0.00381017,30.4475,5.27229,-13.135,1.45358,31.728,-4.15061
0.00389487,30.3521,5.22157,-12.7078,1.09479,31.6955,-3.71091
0.00371085,30.3949,5.15172,-12.6068,0.617767,31.6496,-3.75533
0.00371132,30.4616,5.22082,-12.5888,0.235023,31.6673,-3.89335
0.00455841,29.8076,4.86471,-12.2547,0.055353,31.5767,-3.00226
0.00459663,29.8725,4.70907,-12.1157,-0.681602,31.653,-3.5069
0.00431025,31.2654,5.3267,-11.1845,-1.46583,31.8797,-4.71804
0.00364682,30.9527,5.1642,-10.9365,-1.57988,31.8728,-4.37003
0.00513022,30.2108,4.9754,-10.4539,-1.88216,31.8598,-3.82631
0.00442502,30.6882,5.035,-10.3694,-2.32646,32.0182,-4.35499
0.00445805,30.9777,4.98993,-10.1845,-2.33956,32.0947,-4.09145
0.00461738,30.5425,4.51867,-10.0276,-2.59141,32.2936,-3.4724
0.00421681,31.05,4.4666,-9.91848,-3.04911,32.5017,-3.92333
0.0039937,31.541,4.5541,-9.92364,-3.54772,32.7243,-4.79194
0.0037016,31.4243,4.41186,-10.1634,-3.87085,32.9328,-4.91515
0.00450118,31.1282,4.42625,-9.97986,-4.24126,33.1164,-5.27373
0.00474901,30.8283,4.17418,-9.738,-4.24664,33.2997,-4.88859
0.00384754,30.9117,3.7527,-10.1288,-4.18413,33.351,-4.35726
0.00429873,31.6207,4.02854,-9.69279,-4.89423,33.7624,-5.74869
0.00448403,31.5285,3.73683,-10.1417,-5.11737,33.9172,-5.96551
0.00751819,30.6228,3.45629,-10.0116,-4.65172,34.0218,-4.83831
0.00470264,30.2911,3.44856,-9.87283,-4.66413,34.183,-4.71498
